text,date,user_location
"Suratnya Sakti, tp KPK yg kurang sakti.
Kuliti Anies Baswedan, Ketua DPRD DKI Ungkap 'Surat Sakti' Muluskan Pinjama… https://t.co/zMjQaaGSkq",2022-03-27 16:30:27,Indonesia
"@Tony_Harto @Uki23 Sepertinya selain sirkuit Formula E, JIS dan TIM juga bakal mangkrak. Tidak seperti Kereta Cepat… https://t.co/q4GS2XIn0K",2022-03-27 15:35:07,
Wagub DKI Jakarta Sebut Pendapatan Balap Formula E Belum Bisa Untung di Tahun Pertama: Perlu Waktu https://t.co/CyFDi4JIo9,2022-03-27 15:13:34,"West Sumatra, Indonesia"
"Gak Nyangka sih. Buka Channel YT nya Om Mobi, ternyata ada video bahas Sirkuit Formula E Jakarta. 👌

Aku udah ikuti… https://t.co/gTlH6tXzU7",2022-03-27 15:06:40,"Tebet, Indonesia"
"@GeiszChalifah @ridhorahadi Prasetyo Ketua DPRD DKI dan Gilbert Simanjuntak Komisi B DPRD DKI

Mereka berdua selalu… https://t.co/DYcr9M0Qy2",2022-03-27 14:59:48,
"@ChusnulCh__ MotoGP bengkak dari 1,2T menjadi 2,5T ternyata Aspal ngelupas makanya Bengkak.. KPK aja udah dilemahin… https://t.co/nfuag65ci6",2022-03-27 14:55:00,"Wieselburg-Land, Österreich"
Bedanya yg bakalan dirasakan Mandalika akan sama dg fasilitas PON di Papua.. Klo formula E malah nambah cantik nya… https://t.co/svXg6MM8Hx,2022-03-27 14:53:58,Kota Manado
"@aniesbaswedan Sebenarnya mau JIS apa formula E sih bagus2 aja, kalau sukses nama Jakarta &amp; Indonesia juga yg bangg… https://t.co/wrQoSxCMnJ",2022-03-27 14:53:44,
"@GeiszChalifah Gak nyangka, lihat channel Om Mobi, ada video bahas sirkuit Formula E Jakarta 😅 https://t.co/XgB4l4azQ1",2022-03-27 14:52:20,"Tebet, Indonesia"
"@ChusnulCh__ Itu bukan tujuan utama, tujuannya bisa potong pita klo jakarta bisa bangun formula e",2022-03-27 14:20:44,"Kota Surabaya, Jawa Timur"
@GeiszChalifah Berapa  sebenarnya uang yang dikeluarkan untuk formula E? Tujuan formula E untuk apa? Kita tahu bers… https://t.co/32XHp86GuP,2022-03-27 14:12:53,
@jpatading @Leonita_Lestari Formula E itu mempromosikan kendaraan listrik yg bebas polusi dan ketergantungan terhad… https://t.co/K39wegAGkp,2022-03-27 13:59:49,"Ambon, Maluku, Indonesia"
"@Uki23 Ternyata ooo ternyata 😂😂😂😂 cebong tolol psti mkn stres 😂😂😂😂
https://t.co/7YHpcwvQ2R",2022-03-27 13:11:27,"Tangerang, Banten"
@DarulDharul @AnggitaWiryo @aniesbaswedan @tatakujiyati @Mdy_Asmara1701 @marlina_idha @YeyenAgoestine… https://t.co/1tVvKicoTu,2022-03-27 13:06:48,Palangkaraya
"Dari 50.000, Mengapa Kini Target Sirkuit Formula E Jakarta Hanya 10.000 Penonton Langsung? https://t.co/c0gJbBKe0k https://t.co/8GXjVycCFI",2022-03-27 13:02:04,Indonesia
"Diklaim Sudah Selesai 87,9 Persen, Sudah Sampai Mana Progres Sirkuit Formula E Ancol Jakarta?… https://t.co/DZ3ipU5Epd",2022-03-27 12:54:05,Indonesia
@Mufix5 @03__nakula gw tidak bicara tehnik konstruksi ya droenz...gw bicara 'green racing' mending elo baca² dulu a… https://t.co/huJagw6Gwi,2022-03-27 12:51:03,we stare at the same sky
"Coba anda tanyakan ke mereka
Maket nya seperti apa?
Ko bisa mereka optimis sudah selesai 87%
Klu ada maket nya kan… https://t.co/QLmamRgPoM",2022-03-27 12:45:46,
"@03__nakula Alhamdulillah berarti Indonesia punya dua sirkuit kelas internasional, sirkuit Mandalika untuk MotoGP d… https://t.co/Q8f8kQvu7K",2022-03-27 12:15:26,Metro Lampung Indonesia
"Wakil Gubernur DKI Jakarta Ahmad Riza Patria mengatakan, pengurangan jumlah penonton dipastikan telah melalui seran… https://t.co/audmBSjtyE",2022-03-27 12:14:37,Jakarta - Indonesia
"@GeiszChalifah Publik hanya ingin tahu kewajaran proyek formula E ini dr sisi biaya, feasibilty, governance serta k… https://t.co/mo9JTj1ymY",2022-03-27 12:07:37,
